companyAlias,employee,stillExists,lastParticipationDate,vote.mean,vote.mode,vote.min,vote.max,likes.mean,likes.min,likes.max,dislikes.mean,dislikes.min,dislikes.max,likesRatio.d,stillExists.meanDislikedComments,stillExists.meanLikedComments,vote.count_box-cox,diffDaysVote.max_box-cox,diffDaysVote.median_box-cox,carac.mean_box-cox,carac.min_box-cox,carac.max_box-cox,diffDaysComment.min_box-cox,diffDaysComment.max_box-cox,diffDaysComment.median_box-cox,commentId.count_box-cox,genderMale,companyTypeService
5370af43e4b0cff95558c12a,18,1,2017-03-12 01:00:00,3.1921182266009853,3,1,4,5.48,1.0,18.0,0.58,0.0,3.0,2.0,0.4444444444444444,0.5899122807017544,5.787542450555235,17.986163052402876,14.212066175397776,9.173534745361444,3.7061399748779444,10.456913965967862,3.4347989161708705,42.11880457432267,29.75040223808131,2.427911054317487,0,1
5370af43e4b0cff95558c12a,20,1,2016-12-16 01:00:00,3.6666666666666665,4,2,4,1.4,0.0,3.0,0.2,0.0,1.0,1.0,0.0,0.375,4.206604950657299,16.33887795726336,13.547952106739901,3.479015319863705,0.0,5.69178922959535,2.7091573761223624,32.39831709376189,7.99646282541185,1.4221339774298807,0,1
5370af43e4b0cff95558c12a,21,1,2016-12-27 01:00:00,3.6805555555555554,4,3,4,3.4166666666666665,0.0,8.0,0.3333333333333333,0.0,2.0,2.0,0.125,0.5952380952380952,4.592641817528407,16.56617597559773,12.575921807681484,9.32275137305538,2.827827763740738,11.20178387613392,1.7415990502828462,37.391759946169614,26.975280811784707,1.8535678490441938,0,1
5370af43e4b0cff95558c12a,22,0,2016-05-26 09:16:56,3.25,3,1,4,4.888888888888889,0.0,10.0,0.7777777777777778,0.0,4.0,1.0,0.5,0.3333333333333333,3.1946745611275977,10.295262465118794,7.643898883095532,10.754484921859396,3.7061399748779444,11.129256201682388,0.0,16.280561372890116,12.038896136595936,2.034698944909387,1,1
5370af43e4b0cff95558c12a,23,1,2016-11-12 01:00:00,3.117647058823529,3,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,3.7612298110034192,15.575566082640629,11.4462353829551,4.335261399022795,2.827827763740738,4.276424449952902,3.746014875012071,32.47417334966988,19.825792295828077,0.9513297040333372,1,1
5370af43e4b0cff95558c12a,24,0,2016-07-18 02:00:00,2.4393939393939394,3,1,4,4.588235294117647,0.0,14.0,1.3529411764705883,0.0,5.0,0.0,0.5,0.4507042253521127,4.49464838843108,12.402212966757848,9.521380662974002,11.764589030895474,3.8243216921312455,13.514736888347311,2.761336919221527,24.33347500931649,17.528954622208378,2.2901414467887857,1,1
5370af43e4b0cff95558c12a,25,1,2017-03-20 01:00:00,3.2344827586206897,4,1,4,4.75,0.0,12.0,0.53125,0.0,5.0,2.0,0.5909090909090909,0.5567375886524822,5.394353609124347,18.108767247591704,14.230157106723873,6.995011349013205,0.0,8.618473705811907,2.3086266758982705,42.60295907741037,28.87258608318587,2.267322018510072,1,1
5370af43e4b0cff95558c12a,26,1,2017-03-06 01:00:00,3.090909090909091,3,3,4,2.2,0.0,5.0,0.2,0.0,1.0,2.0,0.0,0.5,2.5843405653324982,17.424235553360923,8.906101188607034,7.171837011715898,4.341196645945537,6.878046877892689,4.022120775636662,40.25935321583348,28.110678607947598,1.4221339774298807,0,1
5370af43e4b0cff95558c12a,27,1,2017-03-06 01:00:00,2.8142857142857145,3,1,4,3.7,0.0,11.0,1.0666666666666669,0.0,7.0,0.0,0.42857142857142855,0.5483870967741935,4.5608732219904,17.87986436621131,15.04968175042298,9.717591596992087,3.161098816825789,10.88039486827604,1.0796163076058098,41.629865726429976,30.223852108033416,2.2426769444312806,1,1
5370af43e4b0cff95558c12a,28,1,2017-01-30 17:02:25,3.0,3,2,4,6.416666666666667,1.0,10.0,0.3333333333333333,0.0,2.0,2.0,0.6666666666666666,0.6176470588235294,2.8967568126650876,17.216827542755514,14.139242988666071,11.507551523011445,4.8472700320332445,13.802468418112673,0.0,39.62312264506236,27.475056901775684,1.8535678490441938,1,1
5370af43e4b0cff95558c12a,29,1,2016-09-14 17:03:44,3.7916666666666665,4,3,4,2.6666666666666665,0.0,7.0,0.2222222222222222,0.0,1.0,2.0,0.0,0.5555555555555556,3.3870295654845997,14.142724828183697,11.306988251405727,5.062188866968818,1.9324508384096557,6.006995134331657,0.0,29.064544842944997,21.237026476986557,1.7170961090778822,1,1
5370af43e4b0cff95558c12a,30,1,2016-06-15 14:20:29,3.8,4,3,4,6.631448203475065,2.344740634005764,14.630043227665706,1.1693803788772703,0.2471181556195965,4.38328530259366,1.0,0.0,0.3333333333333333,1.8430798847635506,9.917231306151695,7.946080869964693,11.914129422431095,5.225205948028084,12.937678632744603,2.22018957192814,22.95168510249377,14.920642800852495,0.0,0,1
5370af43e4b0cff95558c12a,31,1,2017-03-16 01:00:00,3.4098360655737703,4,1,4,6.631448203475065,2.344740634005764,14.630043227665706,1.1693803788772703,0.2471181556195965,4.38328530259366,1.0,0.0,0.7083333333333334,6.0045585975192335,18.056405966011244,13.518032556621504,11.914129422431095,5.225205948028084,12.937678632744603,2.22018957192814,22.95168510249377,14.920642800852495,0.0,1,1
5370af43e4b0cff95558c12a,32,1,2017-01-25 01:00:00,3.125,3,2,4,5.0,4.0,7.0,0.8,0.0,2.0,1.0,0.0,0.5714285714285714,3.938565441683139,17.08248066356815,13.63694265109846,11.99808225839577,5.272013628943034,11.00623025537217,3.922183050422881,38.652168236776006,29.613644908879213,1.4221339774298807,1,1
5370af43e4b0cff95558c12a,33,0,2016-11-21 01:00:00,3.9740259740259742,4,2,4,4.133333333333334,0.0,12.0,2.066666666666667,0.0,8.0,0.0,0.3076923076923077,0.5362318840579711,4.668516192624703,15.800329342359158,11.832940185108503,8.536958470681236,0.0,9.996636130390023,4.596484571864591,34.89907213549577,23.85805927031957,1.9549580726288052,0,1
5370af43e4b0cff95558c12a,34,0,2016-11-16 01:00:00,3.2142857142857144,4,1,4,3.5,0.0,16.0,0.5,0.0,2.0,1.0,0.1875,0.5,3.9921190190601985,15.108090430673002,11.135509981660723,7.220037885941115,3.161098816825789,8.697643223405427,4.9206302156983295,32.700853910571404,24.620866062576543,1.8535678490441938,0,1
5370af43e4b0cff95558c12a,36,1,2016-09-05 02:00:00,4.0,4,4,4,6.631448203475065,2.344740634005764,14.630043227665706,1.1693803788772703,0.2471181556195965,4.38328530259366,1.0,0.0,0.0,0.7007392340731345,0.0,0.0,11.914129422431095,5.225205948028084,12.937678632744603,2.22018957192814,22.95168510249377,14.920642800852495,0.0,1,1
5370af43e4b0cff95558c12a,37,0,2016-12-13 01:00:00,3.774193548387097,4,2,4,4.666666666666667,1.0,11.0,0.2222222222222222,0.0,1.0,2.0,0.0,0.5,4.4244773994605415,16.254818367324543,12.587413247311327,6.757557120805276,2.6389819953119527,7.05400325921483,3.0593915175833333,36.370705036862624,24.115148525334924,2.034698944909387,0,1
